rank  feature                                     coef    NaN率
-----------------------------------------------------------------
   1  race_前走脚質平均                               0.7826   100%
   2  頭数                                        0.7817     0%
   3  レース内_逃げ馬数                                 0.7731     2%
   4  RPCI                                      0.7725     3%
   5  race_前走前目割合                               0.7690   100%
   6  季節                                        0.7656     0%
   7  推定ペース                                     0.7639     2%
   8  今回_距離_m                                   0.7564     0%
   9  race_前走逃げ数                                0.7408   100%
  10  相手レベル_実力差                                 0.7303     8%
  11  レース内_先行馬数                                 0.7248     2%
  12  race_前走前目頭数                               0.7103   100%
  13  クラス_rank                                  0.7097     5%
  14  今回_馬場_num                                 0.6959     2%
  15  コース展開マッチ                                  0.6866     3%
  16  レース内_脚質std                                0.6383     2%
  17  上3F地点差                                    0.6047     5%
  18  レース内_平均脚質                                 0.5672     2%
  19  race_前走先行数                                0.5648   100%
  20  race_前走脚質std                              0.5472   100%
  21  今回_surface                                0.5119     0%
  22  月                                         0.4289     0%
  23  1走前_クラス_rank                              0.2594    13%
  24  1走前_クラス差                                  0.2571     0%
  25  近5走_走破タイム平均                               0.2485    10%
  26  1走前_上り3F                                  0.2287    10%
  27  近5走_タイム指数平均                               0.2269    10%
  28  近5走_上り3F指数平均                              0.2236    10%
  29  1走前_走破タイム_sec                             0.2183    10%
  30  近5走_RPCI平均                                0.2047    11%
  31  コース_先行有利度                                 0.1927     3%
  32  2走前_クラス_rank                              0.1894    22%
  33  9走前_タイム指数                                 0.1872    62%
  34  1走前_上り3F_指数                               0.1839    10%
  35  調教師コース_r100_勝率                            0.1825     0%
  36  2走前_クラス差                                  0.1805     0%
  37  近3走_勝率                                    0.1777    10%
  38  近5走_タイム指数_min                             0.1758    10%
  39  近5走_タイム指数_max                             0.1749    10%
  40  馬体重                                       0.1700     1%
  41  年齢                                        0.1601     2%
  42  2走前_上り3F                                  0.1556    20%
  43  近5走_上り3F_min                              0.1522    10%
  44  1走前_RPCI                                  0.1497    12%
  45  距離変化_前走                                   0.1453    10%
  46  1走前_斤量                                    0.1403    10%
  47  近5走_上り3F平均                                0.1399    10%
  48  前距離                                       0.1383    12%
  49  相手レベル_平均着順                                0.1365     8%
  50  近5走_タイム指数_range                           0.1326    10%
  51  騎手コース_r100_勝率                             0.1271     0%
  52  2走前_上り3F_指数                               0.1239    20%
  53  10走前_上り3F                                 0.1197    64%
  54  10走前_タイム指数                                0.1177    65%
  55  4走前_馬体重                                   0.1123    36%
  56  6走前_上り3F                                  0.1105    48%
  57  前走_surface                                0.1086    10%
  58  前走馬体重                                     0.1075    10%
  59  3走前_上り3F_指数                               0.1074    28%
  60  8走前_タイム指数                                 0.1012    58%
  61  前走頭数                                      0.0979    12%
  62  7走前_RPCI                                  0.0950    53%
  63  前走着差タイム                                   0.0932    12%
  64  3走前_馬体重                                   0.0924    28%
  65  芝ダ一致_平均着順_近5走                             0.0920    17%
  66  キャリア                                      0.0911     0%
  67  4走前_クラス差                                  0.0888     0%
  68  2走前_クラス調整着順                               0.0874    20%
  69  7走前_走破タイム_sec                             0.0859    53%
  70  着順_近5走_std                                0.0850    19%
  71  2走前_タイム指数                                 0.0847    21%
  72  5走前_斤量                                    0.0846    42%
  73  5走前_上り3F                                  0.0843    42%
  74  2走前_頭数                                    0.0831    19%
  75  2走前_RPCI                                  0.0831    21%
  76  種牡馬_ダ_複勝率                                 0.0809     0%
  77  2走前_斤量                                    0.0804    19%
  78  近5走_着差タイム_クラス補正平均                         0.0799    10%
  79  4走前_RPCI                                  0.0795    37%
  80  前走斤量                                      0.0792    12%
  81  3走前_クラス差                                  0.0780     0%
  82  9走前_上り3F                                  0.0779    61%
  83  6走前_頭数                                    0.0772    48%
  84  斤量変化                                      0.0772    12%
  85  4走前_上り3F                                  0.0771    36%
  86  着差タイム_クラス補正_1走前                           0.0769    20%
  87  3走前_クラス_rank                              0.0750    30%
  88  キャリア_浅い                                   0.0749     0%
  89  4走前_クラス_rank                              0.0733    38%
  90  7走前_タイム指数                                 0.0733    54%
  91  近5走_着差タイム平均                               0.0723    10%
  92  前走着差タイム_クラス補正                             0.0679    12%
  93  9走前_RPCI                                  0.0672    61%
  94  2走前_馬体重                                   0.0666    19%
  95  所属_num                                    0.0662     0%
  96  6走前_斤量                                    0.0655    48%
  97  キャリア_log                                  0.0653     0%
  98  前PCI                                      0.0653    17%
  99  騎手コース_r100_複勝率                            0.0622     0%
 100  種牡馬_複勝率                                   0.0608     0%
 101  展開_コース_脚質フィット                             0.0607    13%
 102  種牡馬_芝_複勝率                                 0.0586     0%
 103  1走前_タイム指数                                 0.0579    12%
 104  8走前_RPCI                                  0.0575    58%
 105  4走前_タイム指数                                 0.0573    37%
 106  9走前_上り3F_指数                               0.0568    61%
 107  4走前_斤量                                    0.0568    36%
 108  間隔                                        0.0548    12%
 109  5走前_クラス_rank                              0.0542    44%
 110  前3角                                       0.0539    13%
 111  6走前_タイム指数                                 0.0522    49%
 112  3走前_斤量                                    0.0520    28%
 113  7走前_頭数                                    0.0519    52%
 114  3走前_頭数                                    0.0518    28%
 115  8走前_上り3F                                  0.0503    57%
 116  8走前_頭数                                    0.0488    57%
 117  9走前_走破タイム_sec                             0.0488    61%
 118  近10走_平均着順                                 0.0487    10%
 119  近5走_平均相対着順                                0.0485    10%
 120  9走前_馬体重                                   0.0479    61%
 121  5走前_クラス差                                  0.0476     0%
 122  3走前_脚質_num                                0.0470    28%
 123  3走前_クラス調整着順                               0.0460    28%
 124  1走前_着順_num                                0.0457    10%
