印	馬番	馬名	人気	オッズ	勝率	EV
◎	3	ジョーマゴス NaN67%	15	204.7	23.3%	EV+0.23
○	5	カイユレ NaN67%	10	69.4	23.3%	EV+0.22
▲	15	ディアデムドール NaN67%	9	32.8	23.3%	EV+0.21
△	12	レステダンルヴァン NaN20%	-	-	13.5%	
×	16	オヤツノジカン NaN27%	2	3.1	7.3%	EV-0.19
	11	フィデリス NaN27%	1	2.1	3.3%	EV-0.35
	4	プリュイドール NaN47%	5	16.4	2.8%	EV-0.02
	2	ソルアモール NaN47%	11	86.4	1.6%	EV+0.01
	7	マクノス NaN39%	4	13.5	0.9%	EV-0.05
	8	アリディプラチノ NaN33%	8	29.4	0.4%	EV-0.02
	10	メイプルキュート NaN48%	6	18.3	0.4%	EV-0.04
	13	ブラッドムーン NaN16%	3	8.8	0.3%	EV-0.09
	1	メイショウサザナミ NaN16%	13	108.1	0.0%	EV-0.01
	6	セントピュアベース NaN39%	7	28.4	0.0%	EV-0.03
	9	レイナサンライズ NaN47%	12	103.6	0.0%	EV-0.01
	14	エアリアルグレース NaN47%	14	148.2	0.0%	EV-0.01
印	馬番	馬名	人気	オッズ	勝率	EV
◎	11	ウインモンクール NaN47%	7	15.1	33.7%	EV+0.28
○	12	グランワールド NaN32%	1	2.6	27.9%	EV-0.03
▲	1	ワンダーゾルダート NaN32%	4	7.9	11.7%	EV+0.02
△	3	トーアシチフクジン NaN21%	10	52.5	6.5%	EV+0.05
×	7	ピエナブラック NaN21%	3	6.7	6.5%	EV-0.05
	4	サーブルディアマン NaN22%	5	8.9	6.3%	EV-0.03
	2	カセノコンコルド NaN16%	6	10.0	2.8%	EV-0.05
	6	ラヴィアンコール NaN94%	8	34.7	2.5%	EV+0.00
	10	シギーコルエンド NaN94%	9	46.2	2.5%	EV+0.01
	5	コスモタキシード NaN39%	11	198.3	0.4%	EV-0.00
	13	ガラード NaN39%	2	4.1	0.4%	EV-0.19
	8	スズノグレイス NaN32%	12	284.3	0.0%	EV-0.00
	9	フチサンチャチャ NaN47%	13	386.0	0.0%	EV-0.00
印	馬番	馬名	人気	オッズ	勝率	EV
◎	1	ハヤブササキチャン NaN28%	1	2.1	26.9%	EV-0.11
○	3	タイムレスフレアー NaN27%	3	6.5	21.2%	EV+0.09
▲	6	エイシンリーガル NaN67%	13	193.0	7.7%	EV+0.07
△	8	ピンクパンサー NaN94%	12	157.8	7.7%	EV+0.07
×	9	フィエスタ NaN67%	7	26.9	7.7%	EV+0.05
	12	ミキノヒストリー NaN94%	18	523.3	7.7%	EV+0.08
	17	ユウトザイシン NaN94%	14	203.8	7.7%	EV+0.07
	15	リン	6	10.7	3.4%	EV-0.04
	16	メイショウノヴァス NaN33%	5	9.5	3.4%	EV-0.05
	18	ジュエルブリス NaN39%	9	64.1	3.4%	EV+0.02
	4	ブランチアウト NaN17%	4	6.5	3.4%	EV-0.09
	5	ルージュソムニウム NaN39%	10	86.1	0.5%	EV-0.00
	14	パラフローラ NaN48%	11	144.5	0.4%	EV-0.00
	2	アスクウルトラモア NaN32%	17	411.3	0.0%	EV-0.00
	7	ゴッドレイ NaN40%	8	29.2	0.0%	EV-0.03
	10	アズライトアスール NaN32%	16	347.3	0.0%	EV-0.00
	11	キボウホー NaN26%	2	6.3	0.0%	EV-0.13
	13	モズガネシア NaN33%	15	265.0	0.0%	EV-0.00
印	馬番	馬名	人気	オッズ	勝率	EV
◎	10	ティタノマキア NaN32%	2	3.3	45.7%	EV+0.21
○	6	ダノンワンダー NaN47%	3	5.8	36.6%	EV+0.23
▲	1	スノースケープ NaN67%	1	1.6	2.3%	EV-0.48
△	7	マコトエウロペ NaN64%	6	37.2	2.3%	EV+0.00
×	3	アメジストブリエ NaN39%	8	66.4	2.3%	EV+0.01
	5	スフィダンテ NaN22%	5	31.7	1.4%	EV-0.01
	8	ナムラシンジロー NaN11%	9	105.1	1.2%	EV+0.00
	2	シャリキモン NaN27%	4	13.9	0.5%	EV-0.05
	4	カヴァティーナ NaN47%	7	62.1	0.5%	EV-0.01
	9	ヘブンクローバー NaN47%	10	267.7	0.0%	EV-0.00
印	馬番	馬名	人気	オッズ	勝率	EV
◎	7	ミルトベスト NaN33%	8	22.0	81.7%	EV+0.78
○	3	ウォーターサグラダ NaN40%	4	8.1	5.7%	EV-0.04
▲	9	モンサンゴールデン NaN11%	6	11.0	3.4%	EV-0.04
	5	メイクワンズデイ NaN21%	2	3.3	2.3%	EV-0.22
	8	マーゴットミスト NaN13%	3	5.4	1.4%	EV-0.13
	1	マイケルバローズ	1	3.3	0.5%	EV-0.24
×	6	ベネサルート NaN33%	7	15.8	0.4%	EV-0.05
	2	フィラーエ NaN21%	5	8.2	0.0%	EV-0.10
△	4	サンセットゴールド NaN47%	9	37.0	0.0%	EV-0.02
印	馬番	馬名	人気	オッズ	勝率	EV
◎	7	ホールオブミラーズ NaN32%	10	38.6	23.3%	EV+0.21
○	13	アイアムジャイアン NaN47%	2	5.5	20.4%	EV+0.06
▲	6	ミスターエメラルド	11	39.6	16.4%	EV+0.14
△	4	レイサンソク NaN16%	7	17.1	14.5%	EV+0.10
×	10	ユアフェリシティ NaN27%	6	16.2	11.7%	EV+0.07
	9	アスクドゥチャンプ NaN32%	4	12.8	6.3%	EV+0.00
	5	ヴァイヴァーイ NaN39%	14	68.0	2.8%	EV+0.02
	1	ルファーダ NaN11%	9	28.5	1.6%	EV-0.01
	2	リオンサーガ NaN26%	15	80.8	1.6%	EV+0.01
	3	ビズロード NaN47%	-	-	0.9%	
	16	アンソニー NaN39%	5	15.0	0.9%	EV-0.04
	11	メイショウサッソウ NaN27%	13	62.7	0.3%	EV-0.01
	12	ボクマダネムイヨ NaN27%	1	1.8	0.3%	EV-0.44
	15	レザーアンドレース NaN16%	8	22.5	0.3%	EV-0.03
	8	シャローファースト	3	12.1	0.0%	EV-0.07
	14	カイラーサ NaN38%	12	54.4	0.0%	EV-0.01
印	馬番	馬名	人気	オッズ	勝率	EV
◎	10	メイショウサチダケ	6	9.8	24.9%	EV+0.17
○	12	ペールノエル	4	7.6	24.9%	EV+0.14
▲	16	ノボリリア NaN11%	8	10.2	11.0%	EV+0.03
×	4	ウォーターエアリー NaN26%	3	6.9	9.3%	EV-0.02
△	7	ブルーレース NaN11%	7	10.0	9.3%	EV+0.01
	11	サリュエ	5	8.4	5.7%	EV-0.04
	3	ハルオーブ	10	24.8	3.4%	EV+0.00
	18	レモンバーム	9	21.8	3.4%	EV-0.00
	6	メラヴィリオーザ	13	72.5	1.2%	EV+0.00
	9	モンタルチーノ	1	4.8	0.5%	EV-0.16
	13	ハッピーサプライズ	15	87.4	0.5%	EV-0.00
	14	エイトスターズ	12	63.4	0.4%	EV-0.01
	17	ラブアイミー	14	76.9	0.4%	EV-0.01
	1	アーニャワクワク	16	93.8	0.0%	EV-0.01
	2	サラサラヘアー NaN11%	17	101.7	0.0%	EV-0.01
	5	バダジェフスカ NaN12%	11	53.4	0.0%	EV-0.01
	8	ワールドキッス	18	128.8	0.0%	EV-0.01
	15	マリブオレンジ	2	6.0	0.0%	EV-0.13
印	馬番	馬名	人気	オッズ	勝率	EV
○	1	テーオーライマン	2	5.4	19.4%	EV+0.05
◎	2	パーサヴィアランス	12	44.2	19.4%	EV+0.18
×	5	サイモンシュバリエ	1	2.3	15.1%	EV-0.20
▲	6	タイガースパーク	3	6.9	13.5%	EV+0.02
△	3	ケーヴァラ NaN11%	4	7.4	11.7%	EV+0.01
	4	メイショウオオコ	5	11.7	7.3%	EV+0.00
	10	トゥルブレンシア	11	43.1	6.5%	EV+0.05
	8	クリノフィガロ	6	15.4	5.7%	EV+0.01
	12	サパテアール	9	31.1	3.3%	EV+0.01
