日付S,場 R,馬番,馬名S,馬ID,性別,斤量,騎手,調教師,馬体重,馬体重増減,芝・ダ,距離,クラス,日付,開催,Ｒ,頭数
2026.6.27,福1,1,グラヴィテ,,牝,58.0,黒岩,栗東藤野,496.0,8.0,障,2750,３歳以上障害未勝利,260627,1福1,1,14.0
2026.6.27,福1,2,ナチュラルリバー,,牡,60.0,高田,栗東宮地,484.0,-6.0,障,2750,３歳以上障害未勝利,260627,1福1,1,14.0
2026.6.27,福1,3,ワールドシリーズ,,牡,60.0,中村,栗東秋山,476.0,4.0,障,2750,３歳以上障害未勝利,260627,1福1,1,14.0
2026.6.27,福1,4,バラジ,,セ,60.0,小牧加,栗東井上,498.0,-4.0,障,2750,３歳以上障害未勝利,260627,1福1,1,14.0
2026.6.27,福1,5,ディベルティスマン,,牡,60.0,伴,美浦菊沢,514.0,-6.0,障,2750,３歳以上障害未勝利,260627,1福1,1,14.0
2026.6.27,福1,6,セキテイオー,,牡,60.0,金子,美浦田中剛,482.0,0.0,障,2750,３歳以上障害未勝利,260627,1福1,1,14.0
2026.6.27,福1,7,クロライナ,,セ,60.0,五十嵐,美浦室井,486.0,-10.0,障,2750,３歳以上障害未勝利,260627,1福1,1,14.0
2026.6.27,福1,8,エンジョイドライブ,,牡,60.0,難波,栗東宮本,472.0,8.0,障,2750,３歳以上障害未勝利,260627,1福1,1,14.0
2026.6.27,福1,9,キュピドン,,牡,60.0,森一,栗東森秀,512.0,0.0,障,2750,３歳以上障害未勝利,260627,1福1,1,14.0
2026.6.27,福1,10,ブライテストドーン,,セ,57.0,▲小林凌,美浦田島,516.0,8.0,障,2750,３歳以上障害未勝利,260627,1福1,1,14.0
2026.6.27,福1,11,アスクアットバット,,セ,60.0,田村,栗東加藤公,486.0,14.0,障,2750,３歳以上障害未勝利,260627,1福1,1,14.0
