日付S,場 R,馬番,馬名S,性別,斤量,騎手,馬体重,馬体重増減,芝ダ,距離,クラス
2026.5.30,東1,1,フェアリーキャット,牝,52.0,▲石神道,432,6,ダ,1400,３歳未勝利
2026.5.30,東1,2,ヴィビーム,牝,52.0,▲佐藤,450,0,ダ,1400,３歳未勝利
2026.5.30,東1,3,ジュピターテソーロ,牡,57.0,戸崎圭,480,-2,ダ,1400,３歳未勝利
2026.5.30,東1,4,ブルーミーティア,牡,57.0,菅原明,494,4,ダ,1400,３歳未勝利
2026.5.30,東1,5,ニットウライズ,牡,57.0,吉田豊,442,-8,ダ,1400,３歳未勝利
2026.5.30,東1,6,ライカ,牡,57.0,松山,448,2,ダ,1400,３歳未勝利
2026.5.30,東1,7,エーデルハイ,牝,55.0,津村,448,4,ダ,1400,３歳未勝利
2026.5.30,東1,8,イデアジュアンイハ,牝,55.0,石橋脩,422,6,ダ,1400,３歳未勝利
2026.5.30,東1,9,コウユーニポポニコ,牝,52.0,▲石田,456,2,ダ,1400,３歳未勝利
2026.5.30,東1,10,ジョリュウジャンシ,牝,55.0,菅原隆,416,14,ダ,1400,３歳未勝利
2026.5.30,東1,11,トゥモローズウェイ,牝,52.0,▲小林美,438,3,ダ,1400,３歳未勝利
2026.5.30,東1,12,デディカス,牡,57.0,横山琉,472,-8,ダ,1400,３歳未勝利
2026.5.30,東1,13,エリンフレーム,牝,55.0,ディー,462,-6,ダ,1400,３歳未勝利
2026.5.30,東1,14,サクラドール,牡,57.0,佐々木,500,8,ダ,1400,３歳未勝利
2026.5.30,東1,15,フォーマルノーチス,牡,57.0,菊沢,478,0,ダ,1400,３歳未勝利
2026.5.30,東1,16,スピニンググローブ,牡,57.0,木幡巧,498,2,ダ,1400,３歳未勝利
2026.5.30,東2,1,ジングアップ,牡,57.0,佐々木,448,2,芝,2400,３歳未勝利
2026.5.30,東2,2,ゴンファロニエーレ,牡,57.0,戸崎圭,448,2,芝,2400,３歳未勝利
2026.5.30,東2,3,ヒコボシ,牡,57.0,ディー,408,4,芝,2400,３歳未勝利
2026.5.30,東2,4,インタノン,牡,57.0,レーン,484,-8,芝,2400,３歳未勝利
2026.5.30,東2,5,スーザンバローズ,牝,55.0,津村,470,-6,芝,2400,３歳未勝利
2026.5.30,東2,6,クリスタルドレス,牝,55.0,江田照,432,10,芝,2400,３歳未勝利
2026.5.30,東2,7,エコロゼット,牡,57.0,菊沢,446,4,芝,2400,３歳未勝利
2026.5.30,東2,8,ファンシーシェイプ,牝,55.0,松山,450,0,芝,2400,３歳未勝利
2026.5.30,東2,9,コスモアマデウス,牡,57.0,柴田大,486,-2,芝,2400,３歳未勝利
