日付S,場 R,馬番,馬名S,性別,斤量,騎手,調教師,馬体重,馬体重増減,芝ダ,距離,クラス
2026.6.7,東1,1,カゼノオモイデ,牝,55.0,野中,佐藤吉勝,428.0,0.0,ダ,1400,３歳未勝利
2026.6.7,東1,2,ハクサンミレイ,牝,55.0,大野,松山将樹,458.0,0.0,ダ,1400,３歳未勝利
2026.6.7,東1,3,キタノローズ,牝,55.0,菅原明,室井潔,464.0,-6.0,ダ,1400,３歳未勝利
2026.6.7,東1,4,ユキノサイエンス,牝,55.0,北村宏,小野次郎,410.0,10.0,ダ,1400,３歳未勝利
2026.6.7,東1,5,カーボフリオ,牝,52.0,▲佐藤,高木登,452.0,4.0,ダ,1400,３歳未勝利
2026.6.7,東1,6,ダイユウレゾナンス,牝,53.0,△舟山,松永康利,440.0,-8.0,ダ,1400,３歳未勝利
2026.6.7,東1,7,エリースノー,牝,55.0,津村,武市康男,432.0,8.0,ダ,1400,３歳未勝利
2026.6.7,東1,8,ビリキナータ,牝,55.0,杉原,大和田成,442.0,-2.0,ダ,1400,３歳未勝利
2026.6.7,東1,9,ルクリーシア,牝,55.0,ゴンサルベ,黒岩陽一,452.0,1.0,ダ,1400,３歳未勝利
2026.6.7,東1,10,アジーザム,牝,52.0,▲上里,松尾卓哉,396.0,0.0,ダ,1400,３歳未勝利
2026.6.7,東1,11,テンハートビート,牝,55.0,丹内,西田雄一,454.0,10.0,ダ,1400,３歳未勝利
2026.6.7,東1,12,ロンバスブレス,牝,55.0,菊沢,石栗龍彦,466.0,-4.0,ダ,1400,３歳未勝利
2026.6.7,東1,13,パウラメロディーア,牝,55.0,木幡巧,清水英克,486.0,0.0,ダ,1400,３歳未勝利
2026.6.7,東1,14,フィーユレアル,牝,55.0,横山琉,斎藤誠,476.0,8.0,ダ,1400,３歳未勝利
2026.6.7,東1,15,グラデュエール,牝,55.0,木幡初,粕谷昌央,424.0,0.0,ダ,1400,３歳未勝利
2026.6.7,東1,16,ペリバジャ,牝,52.0,▲石神道,和田正一,412.0,-2.0,ダ,1400,３歳未勝利
2026.6.7,東2,1,クリムゾンリーフ,牡,57.0,ゴンサルベ,加藤士津,466.0,2.0,ダ,2100,３歳未勝利
2026.6.7,東2,2,キョウエイシュバル,牡,57.0,原,萱野浩二,480.0,2.0,ダ,2100,３歳未勝利
2026.6.7,東2,3,ホグホグナナハン,牡,57.0,丸田,小笠倫弘,462.0,2.0,ダ,2100,３歳未勝利
2026.6.7,東2,4,アイムスティルミー,セ,57.0,江田照,手塚貴久,436.0,-2.0,ダ,2100,３歳未勝利
2026.6.7,東2,5,タートルインメイ,牝,55.0,松岡,奥平雅士,484.0,0.0,ダ,2100,３歳未勝利
2026.6.7,東2,6,マスカルポーネ,牝,55.0,武藤,水野貴広,446.0,12.0,ダ,2100,３歳未勝利
2026.6.7,東2,7,ネイティヴプライド,牡,57.0,菅原明,高木登,478.0,2.0,ダ,2100,３歳未勝利
2026.6.7,東2,8,インナーパッション,牡,57.0,横山琉,斎藤誠,520.0,8.0,ダ,2100,３歳未勝利
2026.6.7,東2,9,ブルーフレア,牡,57.0,大野,辻哲英,492.0,-2.0,ダ,2100,３歳未勝利
2026.6.7,東2,10,アルティシエル,牡,57.0,木幡巧,辻哲英,510.0,0.0,ダ,2100,３歳未勝利
2026.6.7,東2,11,ワンダーブリッツ,牡,57.0,横山武,久保田貴,508.0,-2.0,ダ,2100,３歳未勝利
2026.6.7,東2,12,ロジキセキ,牡,54.0,▲石田,新開幸一,488.0,0.0,ダ,2100,３歳未勝利
2026.6.7,東2,13,マイネルスラーヴァ,牡,57.0,丹内,高木登,506.0,-2.0,ダ,2100,３歳未勝利
2026.6.7,東2,14,ウォーレーションズ,牡,57.0,菊沢,鈴木慎太,526.0,-2.0,ダ,2100,３歳未勝利
2026.6.7,東2,15,ブラックパロット,牡,57.0,佐々木,手塚貴徳,526.0,2.0,ダ,2100,３歳未勝利
2026.6.7,東2,16,キタイノホシ,牡,55.0,△舟山,蛯名利弘,440.0,-2.0,ダ,2100,３歳未勝利
2026.6.7,東3,1,レッドリファインド,牡,57.0,石川,奥村武,478.0,10.0,ダ,1600,３歳未勝利
