日付S,場 R,馬番,馬名S,馬ID,性別,斤量,騎手,調教師,馬体重,馬体重増減,芝ダ,距離,クラス
2026.8.8,新1,1,マイネルヴェスペル,,牡,55.0,津村,美浦加藤士,494,0,芝,1400,２歳未勝利
2026.8.8,新1,2,トランサルピナ,,牡,55.0,荻野極,美浦中舘,520,-4,芝,1400,２歳未勝利
2026.8.8,新1,3,リーディンアクター,,牡,55.0,西村太,美浦堀内,404,2,芝,1400,２歳未勝利
2026.8.8,新1,4,シュアシング,,牝,52.0,▲佐藤,美浦相沢,430,-6,芝,1400,２歳未勝利
2026.8.8,新1,5,コスモルミナ,,牡,55.0,坂井,栗東宮地,446,8,芝,1400,２歳未勝利
2026.8.8,新1,6,アミノショコラ,,牡,55.0,木幡巧,美浦杉浦,468,0,芝,1400,２歳未勝利
2026.8.8,新1,7,エルシオン,,牝,52.0,▲上里,美浦柄崎,418,-4,芝,1400,２歳未勝利
2026.8.8,新1,8,セイウンイーリス,,牝,55.0,野中,美浦深山,422,-8,芝,1400,２歳未勝利
2026.8.8,新1,9,コウソクレムリア,,牝,55.0,武藤,美浦武藤,442,-4,芝,1400,２歳未勝利
2026.8.8,新1,10,ウインリスノアール,,牝,53.0,△石神道,美浦和田郎,444,0,芝,1400,２歳未勝利
2026.8.8,新1,11,クールボビー,,牡,52.0,▲石田,美浦矢野,474,2,芝,1400,２歳未勝利
2026.8.8,新1,12,ヴィンチェローズ,,牡,55.0,原,美浦青木,468,-6,芝,1400,２歳未勝利
2026.8.8,新1,13,グルーヴェンス,,牡,55.0,三浦,美浦高柳瑞,424,4,芝,1400,２歳未勝利
2026.8.8,新2,1,リングスター,,牝,53.0,◇今村,美浦秋本,446,0,ダ,1200,２歳新馬
2026.8.8,新2,2,アイビーカイロス,,牝,55.0,木幡巧,美浦牧,458,0,ダ,1200,２歳新馬
2026.8.8,新2,3,ジャスパートレノ,,牡,55.0,荻野極,栗東森秀,484,0,ダ,1200,２歳新馬
2026.8.8,新2,4,ベアベルヴォワ,,牝,53.0,△石神道,美浦杉浦,430,0,ダ,1200,２歳新馬
2026.8.8,新2,5,サザンヴィターレ,,牝,55.0,野中,美浦栗田,438,0,ダ,1200,２歳新馬
2026.8.8,新2,6,ビーテリオス,,牝,55.0,石川,栗東藤野,440,0,ダ,1200,２歳新馬
2026.8.8,新2,7,スマートブライド,,牝,55.0,菱田,美浦加藤征,456,0,ダ,1200,２歳新馬
2026.8.8,新2,8,ナムラアラバイ,,牡,55.0,菊沢,美浦武市,498,0,ダ,1200,２歳新馬
2026.8.8,新2,9,ホシノサミダレ,,牡,55.0,小崎,美浦浅利,506,0,ダ,1200,２歳新馬
